url,beds,baths,address,price,area
https://www.zillow.com/apartments/evanston-il/996-main-st-apartments/5XjMLB/,0,1,"996 Main St, Evanston, IL","$1,165+",
https://www.zillow.com/apartments/evanston-il/996-main-st-apartments/5XjMLB/,2,1,"996 Main St, Evanston, IL","$1,385+",
https://www.zillow.com/apartments/evanston-il/hinman/CrcdtQ/,2,1,"555 Hinman Ave, Evanston, IL","$2,000+",
https://www.zillow.com/apartments/evanston-il/2247-ridge-ave/5XxX4x/,1,1,"2247 Ridge Ave, Evanston, IL","$1,645+",
https://www.zillow.com/apartments/evanston-il/2247-ridge-ave/5XxX4x/,2,1,"2247 Ridge Ave, Evanston, IL","$2,155+",
https://www.zillow.com/apartments/evanston-il/hampton-parkway/CgGwFm/,1,1,"2730 Hampton Pkwy, Evanston, IL","$1,200+",
https://www.zillow.com/apartments/evanston-il/hampton-parkway/CgGwFm/,2,1,"2730 Hampton Pkwy, Evanston, IL","$1,400+",
https://www.zillow.com/homedetails/1235-Ridge-Ave-Evanston-IL-60202/3565018_zpid/,4,2,"1235 Ridge Ave, Evanston, IL 60202","$3,500/mo",1600
"https://www.zillow.com/b/building/42.055332,-87.68428_ll/",3,1,"915 Hamlin St, Evanston, IL","$4,800+",
https://www.zillow.com/homedetails/1607-Simpson-St-2W-Evanston-IL-60201/2088868233_zpid/,2,1,"1607 Simpson St #2W, Evanston, IL 60201","$2,550/mo",1200
https://www.zillow.com/homedetails/1239-Emerson-St-APT-2-Evanston-IL-60201/462367065_zpid/,3,2,"1239 Emerson St APT 2, Evanston, IL 60201","$3,300/mo",
https://www.zillow.com/homedetails/1722-Grey-Ave-Evanston-IL-60201/3518244_zpid/,3,2,"1722 Grey Ave, Evanston, IL 60201","$2,300/mo",600
https://www.zillow.com/homedetails/2002-Maple-Ave-Evanston-IL-60201/2073156857_zpid/,3,1,"2002 Maple Ave, Evanston, IL 60201","$2,750/mo",
https://www.zillow.com/homedetails/203-Custer-Ave-APT-2-Evanston-IL-60202/65556774_zpid/,1,1,"203 Custer Ave APT 2, Evanston, IL 60202","$1,350/mo",750
https://www.zillow.com/homedetails/1633-McDaniel-Ave-2-Evanston-IL-60201/462097377_zpid/,5,2,"1633 McDaniel Ave #2, Evanston, IL 60201","$3,900/mo",1750
https://www.zillow.com/homedetails/1237-Emerson-St-A-Evanston-IL-60201/2079323912_zpid/,4,2,"1237 Emerson St #A, Evanston, IL 60201","$3,600/mo",1500
https://www.zillow.com/homedetails/1303-Elmwood-Ave-101-Evanston-IL-60201/448854196_zpid/,1,1,"1303 Elmwood Ave #101, Evanston, IL 60201","$1,550/mo",
https://www.zillow.com/apartments/evanston-il/914-crain-st./5XjkdP/,2,1,"914 Crain St, Evanston, IL","$2,100+",
https://www.zillow.com/homedetails/804-Forest-Ave-APT-2-Evanston-IL-60202/3566936_zpid/,1,1,"804 Forest Ave APT 2, Evanston, IL 60202","$1,825/mo",
https://www.zillow.com/homedetails/732-Mulford-St-APT-1-Evanston-IL-60202/2095141411_zpid/,3,1,"732 Mulford St APT 1, Evanston, IL 60202","$2,695/mo",
https://www.zillow.com/homedetails/2722-Central-St-Evanston-IL-60201/3515332_zpid/,2,1,"2722 Central St, Evanston, IL 60201","$3,350/mo",
https://www.zillow.com/apartments/chicago-il/530-w.-aldine/5XfWnm/,1,1,"312 Lee St, Evanston, IL","$2,195+",
https://www.zillow.com/apartments/chicago-il/530-w.-aldine/5XfWnm/,2,1,"312 Lee St, Evanston, IL","$2,445+",
https://www.zillow.com/b/320-lee-st-evanston-il-CkKCxQ/,1,1,"320 Lee St, Evanston, IL","$2,645+",
https://www.zillow.com/b/320-lee-st-evanston-il-CkKCxQ/,2,1,"320 Lee St, Evanston, IL","$2,645+",
https://www.zillow.com/b/1130-maple-ave-evanston-il-5XjMcJ/,1,1,"1130 Maple Ave, Evanston, IL","$2,295+",
https://www.zillow.com/b/1130-maple-ave-evanston-il-5XjMcJ/,3,1,"1130 Maple Ave, Evanston, IL","$2,745+",
https://www.zillow.com/b/909-elmwood-ave-evanston-il-5XjKDB/,0,1,"909 Elmwood Ave, Evanston, IL","$1,595+",
https://www.zillow.com/b/909-elmwood-ave-evanston-il-5XjKDB/,1,1,"909 Elmwood Ave, Evanston, IL","$1,795+",
https://www.zillow.com/homedetails/804-Seward-St-APT-1-Evanston-IL-60202/2125946661_zpid/,1,1,"804 Seward St APT 1, Evanston, IL 60202","$1,950/mo",
https://www.zillow.com/b/912-reba-pl-evanston-il-5XjRZq/,1,1,"912 Reba Pl, Evanston, IL","$1,795+",
https://www.zillow.com/homedetails/802-S-Sherman-Ave-2-Evanston-IL-60202/451004649_zpid/,1,1,"802 S Sherman Ave #2, Evanston, IL 60202","$1,995/mo",
https://www.zillow.com/b/800-sherman-avenue-evanston-il-5XjTLS/,2,1,"800 Sherman Ave, Evanston, IL","$1,895+",
"https://www.zillow.com/b/building/42.032616,-87.68237_ll/",1,1,"800 Washington St, Evanston, IL","$1,895+",
https://www.zillow.com/homedetails/2100-Greenwood-St-UNIT-203-Evanston-IL-60201/2104721841_zpid/,1,2,"2100 Greenwood St Unit 203, Evanston, IL 60201","$3,097/mo",1500
https://www.zillow.com/homedetails/156-Asbury-Ave-APT-4-Evanston-IL-60202/87727134_zpid/,1,1,"156 Asbury Ave APT 4, Evanston, IL 60202","$1,495/mo",650
https://www.zillow.com/b/916-reba-pl-evanston-il-5XjRb5/,1,1,"916 Reba Pl, Evanston, IL","$1,795+",
https://www.zillow.com/homedetails/832-Reba-Pl-1N-Evanston-IL-60202/2070069515_zpid/,1,1,"832 Reba Pl #1N, Evanston, IL 60202","$1,795/mo",
https://www.zillow.com/homedetails/830-Reba-Pl-3S-Evanston-IL-60202/2070069516_zpid/,1,1,"830 Reba Pl #3S, Evanston, IL 60202","$1,850/mo",
https://www.zillow.com/b/911-elmwood-ave-evanston-il-CpZNYQ/,0,1,"911 Elmwood Ave, Evanston, IL","$1,595+",
https://www.zillow.com/b/911-elmwood-ave-evanston-il-CpZNYQ/,1,1,"911 Elmwood Ave, Evanston, IL","$1,695+",
https://www.zillow.com/b/911-elmwood-ave-evanston-il-CpZNYQ/,2,1,"911 Elmwood Ave, Evanston, IL","$1,895+",
https://www.zillow.com/homedetails/931-Forest-Ave-APT-2E-Evanston-IL-60202/2094982192_zpid/,1,1,"931 Forest Ave APT 2E, Evanston, IL 60202","$1,995/mo",
https://www.zillow.com/b/918-reba-pl-evanston-il-5XjRZy/,1,1,"918 Reba Pl, Evanston, IL","$1,795+",
https://www.zillow.com/b/910-reba-pl-evanston-il-5XmCXp/,1,1,"910 Reba Pl, Evanston, IL","$1,795+",
https://www.zillow.com/b/834-reba-pl-evanston-il-CnCBJz/,1,1,"828 Reba Pl, Evanston, IL","$1,795+",
https://www.zillow.com/homedetails/904-Seward-St-APT-3-Evanston-IL-60202/2120894007_zpid/,2,2,"904 Seward St APT 3, Evanston, IL 60202","$2,395/mo",
https://www.zillow.com/b/1111-lake-st-evanston-il-5Y33d4/,2,1,"1111 Lake St, Evanston, IL","$2,295+",
https://www.zillow.com/homedetails/1317-5-Oak-Ave-E3-Evanston-IL-60202/342625415_zpid/,1,1,"1317.5 Oak Ave #E3, Evanston, IL 60202","$1,895/mo",
https://www.zillow.com/b/834-reba-pl-evanston-il-CnCBJz/,1,1,"834 Reba Pl, Evanston, IL","$1,795+",
https://www.zillow.com/b/834-reba-pl-evanston-il-CnCBJz/,2,1,"834 Reba Pl, Evanston, IL","$2,150+",
https://www.zillow.com/b/800-seward-st-evanston-il-9Vnqmb/,2,1,"800 Seward St, Evanston, IL","$2,195+",
https://www.zillow.com/homedetails/1452-Oak-Ave-2S-Evanston-IL-60201/2062964313_zpid/,2,1,"1452 Oak Ave #2S, Evanston, IL 60201","$2,295/mo",
https://www.zillow.com/homedetails/916-Crain-St-APT-1-Evanston-IL-60202/2093126124_zpid/,2,1,"916 Crain St APT 1, Evanston, IL 60202","$2,995/mo",
https://www.zillow.com/homedetails/716-Reba-Pl-3S-Evanston-IL-60202/2062149430_zpid/,2,1,"716 Reba Pl #3S, Evanston, IL 60202","$2,000/mo",
https://www.zillow.com/homedetails/914-Reba-Pl-APT-3-Evanston-IL-60202/2112301485_zpid/,1,1,"914 Reba Pl APT 3, Evanston, IL 60202","$1,695/mo",
https://www.zillow.com/homedetails/1452-Oak-Ave-APT-2N-Evanston-IL-60201/2093225942_zpid/,2,1,"1452 Oak Ave APT 2N, Evanston, IL 60201","$2,295/mo",
https://www.zillow.com/homedetails/548-Sherman-Ave-1-Evanston-IL-60202/2070185329_zpid/,1,1,"548 Sherman Ave #1, Evanston, IL 60202","$1,795/mo",
https://www.zillow.com/homedetails/1005-Dewey-Ave-Evanston-IL-60202/3540830_zpid/,4,2,"1005 Dewey Ave, Evanston, IL 60202","$3,300/mo",1900
https://www.zillow.com/b/314-lee-st-evanston-il-5XjrXT/,2,1,"314 Lee St, Evanston, IL","$2,620+",
https://www.zillow.com/homedetails/1132-Maple-Ave-22-Evanston-IL-60202/462566476_zpid/,3,1,"1132 Maple Ave #22, Evanston, IL 60202","$2,745/mo",
https://www.zillow.com/homedetails/432-Elmwood-Ave-2-Evanston-IL-60202/3569283_zpid/,1,1,"432 Elmwood Ave #2, Evanston, IL 60202","$1,445/mo",
https://www.zillow.com/homedetails/618-Elmwood-Ave-APT-2-Evanston-IL-60202/89938449_zpid/,2,1,"618 Elmwood Ave APT 2, Evanston, IL 60202","$2,195/mo",
https://www.zillow.com/homedetails/548-Elmwood-Ave-2-Evanston-IL-60202/2069238662_zpid/,2,1,"548 Elmwood Ave #2, Evanston, IL 60202","$1,825/mo",
https://www.zillow.com/apartments/evanston-il/805-judson/5XjZHj/,2,1,"805 Judson Ave, Evanston, IL","$2,270+",
https://www.zillow.com/homedetails/927-Forest-Ave-APT-2E-Evanston-IL-60202/2094078761_zpid/,3,1,"927 Forest Ave APT 2E, Evanston, IL 60202","$2,395/mo",
